page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
12247,1,Leonhard_Euler,0,0,0.382263965735,bytearray(b'20220903033707'),bytearray(b'20220903005903'),1665853,1111,bytearray(b'wikitext'),
137577,0,Leszek_Kołakowski,0,0,0.13223264175,bytearray(b'20230407003816'),bytearray(b'20230407003816'),3277356,41821,bytearray(b'wikitext'),
154888,1,Leszek_Kołakowski,0,1,0.521603712951,bytearray(b'20230306095851'),bytearray(b'20230306095851'),1722956,184,bytearray(b'wikitext'),
696,0,Letitia_Elizabeth_Landon,0,0,0.560945241973,bytearray(b'20231115184039'),bytearray(b'20231111235848'),3398748,221149,bytearray(b'wikitext'),
3434,0,Lewis_Carroll,0,0,0.65833866394,bytearray(b'20231010154526'),bytearray(b'20231010154524'),3377585,46559,bytearray(b'wikitext'),
134349,1,Lewis_Carroll,0,0,0.72261778982,bytearray(b'20220903040716'),bytearray(b'20220903010701'),1525059,9152,bytearray(b'wikitext'),
204331,14,Liberalism,0,0,0.662317434171,bytearray(b'20231217165353'),bytearray(b'20231217165412'),2867486,182,bytearray(b'wikitext'),
155146,1,Liberalism,0,0,0.286808141471,bytearray(b'20220903041653'),bytearray(b'20220903011007'),2556455,1568,bytearray(b'wikitext'),
12582,0,Liberalism,0,0,0.706838928576,bytearray(b'20231228153858'),bytearray(b'20231228153858'),3431547,46122,bytearray(b'wikitext'),
30390,1,Liberty,0,0,0.204927927379,bytearray(b'20220903033708'),bytearray(b'20220903005905'),1700312,1960,bytearray(b'wikitext'),
86958,2,Liberty,0,0,0.704785963842,bytearray(b'20220625100711'),bytearray(b'20220625100750'),1197287,30,bytearray(b'wikitext'),
86959,3,Liberty,0,1,0.121463449636,bytearray(b'20230225193828'),bytearray(b'20230225193828'),764166,44,bytearray(b'wikitext'),
126482,0,Liberty,0,0,0.071424086703,bytearray(b'20231224103127'),bytearray(b'20231104181110'),3394140,118492,bytearray(b'wikitext'),
104938,0,Lie,1,0,0.187174393435,bytearray(b'20231208165116'),bytearray(b'20230520183943'),1854752,19,bytearray(b'wikitext'),
104939,0,Lies,1,0,0.044958743439,bytearray(b'20231208165116'),bytearray(b'20230520183943'),1854753,19,bytearray(b'wikitext'),
625,1,Life,0,0,0.699229956464,bytearray(b'20221117232704'),bytearray(b'20221117232704'),3194603,29576,bytearray(b'wikitext'),
126484,0,Life,0,0,0.727037827673,bytearray(b'20231224230133'),bytearray(b'20231224230133'),3428513,213316,bytearray(b'wikitext'),
126485,0,Light,0,0,0.272105066676,bytearray(b'20230823170751'),bytearray(b'20230823170751'),3349695,35440,bytearray(b'wikitext'),
138440,1,Light,0,0,0.877254708791,bytearray(b'20230226175146'),bytearray(b'20230226175145'),1512806,742,bytearray(b'wikitext'),
